"Name","Team","PA","Events","EV","maxEV","LA","Barrels","Barrel%","HardHit","HardHit%","AVG","xBA","SLG","xSLG","wOBA","xwOBA","playerid"
"Miguel Sano","MIN","97","47","99.2","114.6","18.7","10","21.3%","32","68.1%",".316","",".684","",".461","","12164"
"Khris Davis","OAK","99","55","95.8","110.7","9.4","11","20.0%","35","63.6%",".268","",".659","",".416","","9112"
"Manny Machado","BAL","102","68","95.3","115.0","17.3","11","16.2%","41","60.3%",".224","",".424","",".329","","11493"
"Aaron Judge","NYY","90","52","95.0","119.4","10.3","14","26.9%","29","55.8%",".303","",".750","",".468","","15640"
"Joey Gallo","TEX","94","48","94.8","116.1","23.8","12","25.0%","30","62.5%",".213","",".550","",".367","","14128"
"Nick Castellanos","DET","108","67","93.7","110.5","13.8","10","14.9%","39","58.2%",".245","",".459","",".328","","11737"
"Justin Bour","MIA","91","61","93.7","114.4","6.7","6","9.8%","31","50.8%",".222","",".407","",".302","","9744"
"Nelson Cruz","SEA","108","69","93.3","113.6","14.4","9","13.0%","35","50.7%",".315","",".618","",".421","","2434"
"Ryan Zimmerman","WSN","96","69","93.1","113.1","12.7","12","17.4%","33","47.8%",".420","",".886","",".545","","4220"
"Yasmany Tomas","ARI","91","63","93.0","109.7","9.4","7","11.1%","33","52.4%",".291","",".581","",".371","","17171"
"Corey Seager","LAD","107","71","92.9","109.6","8.6","9","12.7%","39","54.9%",".319","",".549","",".404","","13624"
"Freddie Freeman","ATL","101","68","92.8","109.0","13.7","13","19.1%","32","47.1%",".381","",".798","",".514","","5361"
"Marcell Ozuna","MIA","98","63","92.8","113.4","9.2","9","14.3%","30","47.6%",".295","",".534","",".371","","10324"
"Giancarlo Stanton","MIA","100","61","92.5","115.6","13.2","9","14.8%","27","44.3%",".264","",".529","",".366","","4949"
"Paul Goldschmidt","ARI","117","73","92.4","108.5","13.6","8","11.0%","35","47.9%",".315","",".522","",".420","","9218"
"Ryan Braun","MIL","99","65","92.2","114.7","7.8","6","9.2%","30","46.2%",".287","",".586","",".398","","3410"
"David Peralta","ARI","102","74","92.0","113.8","2.8","2","2.7%","33","44.6%",".326","",".511","",".379","","2136"
"Matt Holliday","NYY","82","45","91.8","116.0","8.3","5","11.1%","23","51.1%",".262","",".492","",".384","","1873"
"Eric Hosmer","KCR","96","75","91.7","118.0","3.2","3","4.0%","24","32.0%",".225","",".292","",".255","","3516"
"Bryce Harper","WSN","114","72","91.7","113.9","13.0","7","9.7%","32","44.4%",".391","",".772","",".515","","11579"
"Mitch Moreland","BOS","100","65","91.5","113.1","13.5","8","12.3%","26","40.0%",".273","",".477","",".352","","3086"
"Brad Miller","TBR","106","59","91.5","112.7","8.9","2","3.4%","24","40.7%",".227","",".364","",".319","","12775"
"Jay Bruce","NYM","100","73","91.4","111.5","18.1","5","6.8%","29","39.7%",".292","",".584","",".399","","9892"
"Christian Yelich","MIA","105","81","91.1","111.7","3.0","5","6.2%","33","40.7%",".289","",".423","",".315","","11477"
"Tim Beckham","TBR","86","53","91.1","108.6","9.4","6","11.3%","25","47.2%",".272","",".494","",".336","","7949"
"Edwin Encarnacion","CLE","106","52","91.0","112.0","12.6","6","11.5%","20","38.5%",".200","",".353","",".313","","2151"
"Justin Turner","LAD","99","80","90.9","107.4","16.2","6","7.5%","38","47.5%",".404","",".562","",".441","","5235"
"Maikel Franco","PHI","99","78","90.9","113.0","7.8","5","6.4%","34","43.6%",".213","",".382","",".280","","12179"
"Hanley Ramirez","BOS","86","64","90.9","114.3","11.4","11","17.2%","27","42.2%",".253","",".405","",".311","","8001"
"Matt Carpenter","STL","88","52","90.8","107.9","20.9","5","9.6%","25","48.1%",".243","",".414","",".345","","8090"
"Russell Martin","TOR","79","42","90.7","106.5","11.0","3","7.1%","18","42.9%",".219","",".391","",".338","","4616"
"Scott Schebler","CIN","91","62","90.7","110.4","17.0","10","16.1%","26","41.9%",".244","",".598","",".378","","12225"
"Wil Myers","SDP","117","80","90.7","112.2","12.8","6","7.5%","41","51.3%",".310","",".593","",".379","","10047"
"Steven Souza Jr.","TBR","108","67","90.6","116.2","13.0","5","7.5%","27","40.3%",".330","",".543","",".406","","5667"
"Brian McCann","HOU","80","59","90.4","105.9","9.9","4","6.8%","27","45.8%",".279","",".426","",".340","","4810"
"Francisco Lindor","CLE","109","81","90.4","108.0","12.3","11","13.6%","31","38.3%",".309","",".638","",".411","","12916"
"Josh Bell","PIT","81","54","90.4","107.7","10.2","5","9.3%","23","42.6%",".257","",".457","",".352","","13145"
"Yoenis Cespedes","NYM","75","50","90.4","112.1","24.6","9","18.0%","24","48.0%",".270","",".619","",".408","","13110"
"Mark Trumbo","BAL","100","71","90.3","118.5","13.3","3","4.2%","24","33.8%",".202","",".298","",".241","","6876"
"Kole Calhoun","LAA","114","79","90.2","106.2","14.2","2","2.5%","29","36.7%",".255","",".343","",".299","","11200"
