"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Barry Bonds","SFG","143","612","46","117","110","9","32.4%","7.7%",".429",".330",".370",".582",".799",".544","","244","-1.2","108.9","-2.0","12.7","1109"
"Alex Rodriguez","TEX","162","725","57","125","142","9","12.0%","16.8%",".324",".290",".300",".392",".623",".424","","158","4.7","56.1","19.6","10.0","1274"
"Jim Thome","CLE","147","613","52","101","118","1","19.9%","22.7%",".373",".319",".304",".445",".677",".461","","189","1.4","68.4","-16.3","7.3","409"
"Vladimir Guerrero","MON","161","709","39","106","111","40","11.8%","9.9%",".257",".327",".336",".417",".593",".419","","155","0.8","49.3","-0.9","7.1","778"
"Brian Giles","PIT","153","644","38","95","103","15","21.0%","11.5%",".324",".282",".298",".450",".622",".444","","174","1.3","60.7","-12.8","6.9","990"
"Jim Edmonds","STL","144","576","28","96","83","4","14.9%","23.3%",".250",".375",".311",".420",".561",".414","","157","-1.2","39.6","8.6","6.7","1153"
"Jeff Kent","SFG","152","682","37","102","108","5","7.6%","14.8%",".252",".324",".313",".368",".565",".397","","147","0.9","41.3","3.1","6.7","1119"
"Jason Giambi","NYY","155","689","41","120","122","2","15.8%","16.3%",".284",".328",".314",".435",".598",".440","","175","-5.5","58.2","-16.0","6.6","818"
"Scott Rolen","- - -","155","667","31","89","110","8","10.8%","15.3%",".238",".273",".266",".357",".503",".370","","127","-3.9","18.6","24.9","6.5","970"
"Andruw Jones","ATL","154","659","35","91","94","8","12.6%","20.5%",".248",".285",".264",".366",".513",".377","","130","-1.4","23.5","18.0","6.3","96"
"Lance Berkman","HOU","158","692","42","106","128","8","15.5%","17.1%",".285",".302",".292",".405",".578",".411","","149","2.6","45.1","-6.9","6.1","548"
"Chipper Jones","ATL","158","662","26","90","100","8","16.2%","13.4%",".210",".349",".327",".435",".536",".412","","153","0.5","44.6","-7.3","5.9","97"
"Eric Chavez","OAK","153","653","34","87","109","8","10.0%","18.2%",".238",".293",".275",".348",".513",".364","","125","2.9","22.6","12.2","5.7","906"
"Alfonso Soriano","NYY","156","741","39","128","102","41","3.1%","21.2%",".247",".335",".300",".332",".547",".374","","131","7.8","35.8","-4.8","5.6","847"
"Mike Cameron","SEA","158","640","25","84","80","31","12.3%","27.5%",".204",".301",".239",".340",".442",".341","","113","9.2","19.6","13.6","5.5","1070"
"Todd Helton","COL","156","668","30","107","109","5","14.8%","13.6%",".248",".344",".329",".429",".577",".421","","141","-1.7","32.9","0.2","5.5","432"
"Albert Pujols","STL","157","675","34","118","127","2","10.7%","10.2%",".247",".308",".314",".394",".561",".404","","150","0.5","42.6","-10.2","5.4","1177"
"Carlos Beltran","KCR","162","722","29","114","105","35","9.8%","18.7%",".228",".302",".273",".346",".501",".364","","117","6.6","21.3","8.1","5.4","589"
"Larry Walker","COL","136","553","26","95","104","6","11.8%","13.2%",".264",".353",".338",".421",".602",".433","","150","4.1","38.4","-2.7","5.4","455"
"Edgardo Alfonzo","NYM","135","562","16","78","56","6","11.0%","9.8%",".151",".320",".308",".391",".459",".371","","129","5.8","26.2","8.8","5.3","859"
"Manny Ramirez","BOS","120","518","33","84","107","0","14.1%","16.4%",".298",".373",".349",".450",".647",".459","","185","-5.4","48.9","-13.4","5.3","210"
"Derek Jeter","NYY","157","730","18","124","75","32","10.0%","15.6%",".124",".336",".297",".373",".421",".352","","116","5.9","20.5","7.0","5.2","826"
"Luis Gonzalez","ARI","148","633","28","90","103","9","15.3%","12.0%",".208",".288",".288",".400",".496",".387","","131","3.3","28.2","3.4","5.2","55"
